species,year,variable,units,magnitude,source,data_value,flag
Alfonsino & Long-finned Beryx,1996,Asset value,Dollars,Millions,Environmental Accounts,20.3,
Alfonsino & Long-finned Beryx,1996,TACC,Tonnes,Actual,Environmental Accounts,2721.9,
Alfonsino & Long-finned Beryx,1997,Asset value,Dollars,Millions,Environmental Accounts,32.6,
Alfonsino & Long-finned Beryx,1997,TACC,Tonnes,Actual,Environmental Accounts,2721.1,
Alfonsino & Long-finned Beryx,1998,Asset value,Dollars,Millions,Environmental Accounts,31.2,
Alfonsino & Long-finned Beryx,1998,TACC,Tonnes,Actual,Environmental Accounts,2727,
Alfonsino & Long-finned Beryx,1999,Asset value,Dollars,Millions,Environmental Accounts,31.4,
Alfonsino & Long-finned Beryx,1999,TACC,Tonnes,Actual,Environmental Accounts,2727.5,
Alfonsino & Long-finned Beryx,2000,Asset value,Dollars,Millions,Environmental Accounts,17.8,
Alfonsino & Long-finned Beryx,2000,TACC,Tonnes,Actual,Environmental Accounts,2726.7,
Alfonsino & Long-finned Beryx,2001,Asset value,Dollars,Millions,Environmental Accounts,17.8,
Alfonsino & Long-finned Beryx,2001,TACC,Tonnes,Actual,Environmental Accounts,2727,
Alfonsino & Long-finned Beryx,2002,Asset value,Dollars,Millions,Environmental Accounts,24.2,
Alfonsino & Long-finned Beryx,2002,Catch,Tonnes,Actual,Environmental Accounts,2904.2,
Alfonsino & Long-finned Beryx,2002,TACC,Tonnes,Actual,Environmental Accounts,2995.7,
Alfonsino & Long-finned Beryx,2003,Asset value,Dollars,Millions,Environmental Accounts,36.1,
Alfonsino & Long-finned Beryx,2003,Catch,Tonnes,Actual,Environmental Accounts,2926.8,
Alfonsino & Long-finned Beryx,2003,TACC,Tonnes,Actual,Environmental Accounts,2995.7,
Alfonsino & Long-finned Beryx,2004,Asset value,Dollars,Millions,Environmental Accounts,35.5,
Alfonsino & Long-finned Beryx,2004,Catch,Tonnes,Actual,Environmental Accounts,2583.9,
Alfonsino & Long-finned Beryx,2004,TACC,Tonnes,Actual,Environmental Accounts,2995.7,
Alfonsino & Long-finned Beryx,2005,Asset value,Dollars,Millions,Environmental Accounts,37.5,
Alfonsino & Long-finned Beryx,2005,Catch,Tonnes,Actual,Environmental Accounts,3052.5,
Alfonsino & Long-finned Beryx,2005,TACC,Tonnes,Actual,Environmental Accounts,2995.7,
Alfonsino & Long-finned Beryx,2006,Asset value,Dollars,Millions,Environmental Accounts,33.9,
Alfonsino & Long-finned Beryx,2006,Catch,Tonnes,Actual,Environmental Accounts,2903.4,
Alfonsino & Long-finned Beryx,2006,TACC,Tonnes,Actual,Environmental Accounts,2995.7,
Alfonsino & Long-finned Beryx,2007,Asset value,Dollars,Millions,Environmental Accounts,36.6,
Alfonsino & Long-finned Beryx,2007,Catch,Tonnes,Actual,Environmental Accounts,2676.7,
Alfonsino & Long-finned Beryx,2007,TACC,Tonnes,Actual,Environmental Accounts,2995.7,
Alfonsino & Long-finned Beryx,2008,Asset value,Dollars,Millions,Environmental Accounts,30.6,
Alfonsino & Long-finned Beryx,2008,Catch,Tonnes,Actual,Environmental Accounts,2748.3,
Alfonsino & Long-finned Beryx,2008,TACC,Tonnes,Actual,Environmental Accounts,2995.7,
Alfonsino & Long-finned Beryx,2009,Asset value,Dollars,Millions,Environmental Accounts,32.3,
Alfonsino & Long-finned Beryx,2009,Catch,Tonnes,Actual,Environmental Accounts,2665.2,
Alfonsino & Long-finned Beryx,2009,TACC,Tonnes,Actual,Environmental Accounts,2995.7,
Alfonsino & Long-finned Beryx,2010,Asset value,Dollars,Millions,Environmental Accounts,32.5,
Alfonsino & Long-finned Beryx,2010,Catch,Tonnes,Actual,Environmental Accounts,2865.2,
Alfonsino & Long-finned Beryx,2010,TACC,Tonnes,Actual,Environmental Accounts,2995.7,
Alfonsino & Long-finned Beryx,2011,Asset value,Dollars,Millions,Environmental Accounts,36.6,
Alfonsino & Long-finned Beryx,2011,Catch,Tonnes,Actual,Environmental Accounts,2835.7,
Alfonsino & Long-finned Beryx,2011,TACC,Tonnes,Actual,Environmental Accounts,2995.7,
Alfonsino & Long-finned Beryx,2012,Asset value,Dollars,Millions,Environmental Accounts,34.6,
Alfonsino & Long-finned Beryx,2012,Catch,Tonnes,Actual,Environmental Accounts,2699.3,
Alfonsino & Long-finned Beryx,2012,TACC,Tonnes,Actual,Environmental Accounts,2995.7,
Alfonsino & Long-finned Beryx,2013,Asset value,Dollars,Millions,Environmental Accounts,41.3,
Alfonsino & Long-finned Beryx,2013,Catch,Tonnes,Actual,Environmental Accounts,2679,
Alfonsino & Long-finned Beryx,2013,TACC,Tonnes,Actual,Environmental Accounts,2995.7,
